[4119]: {'stabilizer.yaw': 0.015370064415037632, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 304.0, 'hotpatch.context_switches': 18630.0, 'hotpatch.measure_time': 5341758.0}
[4129]: {'stabilizer.yaw': 0.015153910033404827, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 305.0, 'hotpatch.context_switches': 18721.0, 'hotpatch.measure_time': 5367888.0}
[4139]: {'stabilizer.yaw': 0.015098320320248604, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 306.0, 'hotpatch.context_switches': 18814.0, 'hotpatch.measure_time': 5394598.0}
[4149]: {'stabilizer.yaw': 0.014148371294140816, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 307.0, 'hotpatch.context_switches': 18905.0, 'hotpatch.measure_time': 5420497.0}
[4159]: {'stabilizer.yaw': 0.013943465426564217, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 308.0, 'hotpatch.context_switches': 18998.0, 'hotpatch.measure_time': 5447170.0}
[4169]: {'stabilizer.yaw': 0.014168803580105305, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 309.0, 'hotpatch.context_switches': 19089.0, 'hotpatch.measure_time': 5473277.0}
[4179]: {'stabilizer.yaw': 0.014350604265928268, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 310.0, 'hotpatch.context_switches': 19182.0, 'hotpatch.measure_time': 5499924.0}
[4189]: {'stabilizer.yaw': 0.013457359746098518, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 311.0, 'hotpatch.context_switches': 19275.0, 'hotpatch.measure_time': 5526544.0}
[4199]: {'stabilizer.yaw': 0.014165738597512245, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 312.0, 'hotpatch.context_switches': 19370.0, 'hotpatch.measure_time': 5553791.0}
[4209]: {'stabilizer.yaw': 0.0137352729216218, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 313.0, 'hotpatch.context_switches': 19460.0, 'hotpatch.measure_time': 5579591.0}
[4219]: {'stabilizer.yaw': 0.013556496240198612, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 314.0, 'hotpatch.context_switches': 19551.0, 'hotpatch.measure_time': 5605704.0}
