[3965]: {'stabilizer.yaw': 0.00307839410379529, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 289.0, 'hotpatch.context_switches': 17091.0, 'hotpatch.measure_time': 4372633.0}
[3975]: {'stabilizer.yaw': 0.003904603188857436, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 290.0, 'hotpatch.context_switches': 17181.0, 'hotpatch.measure_time': 4395820.0}
[3985]: {'stabilizer.yaw': 0.0039057570975273848, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 291.0, 'hotpatch.context_switches': 17272.0, 'hotpatch.measure_time': 4419039.0}
[3995]: {'stabilizer.yaw': 0.005672616418451071, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 292.0, 'hotpatch.context_switches': 17361.0, 'hotpatch.measure_time': 4441971.0}
[4005]: {'stabilizer.yaw': 0.004572832956910133, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 293.0, 'hotpatch.context_switches': 17456.0, 'hotpatch.measure_time': 4466359.0}
[4015]: {'stabilizer.yaw': 0.0054894802160561085, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 294.0, 'hotpatch.context_switches': 17545.0, 'hotpatch.measure_time': 4489273.0}
[4025]: {'stabilizer.yaw': 0.005608466919511557, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 295.0, 'hotpatch.context_switches': 17636.0, 'hotpatch.measure_time': 4512700.0}
[4035]: {'stabilizer.yaw': 0.005047845654189587, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 296.0, 'hotpatch.context_switches': 17726.0, 'hotpatch.measure_time': 4535868.0}
[4045]: {'stabilizer.yaw': 0.004929319955408573, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 297.0, 'hotpatch.context_switches': 17817.0, 'hotpatch.measure_time': 4559294.0}
[4055]: {'stabilizer.yaw': 0.00529455253854394, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 298.0, 'hotpatch.context_switches': 17906.0, 'hotpatch.measure_time': 4582203.0}
