[4076]: {'stabilizer.yaw': 0.00513351708650589, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17759.0, 'hotpatch.measure_time': 3334745.0}
[4086]: {'stabilizer.yaw': 0.0050223940052092075, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17851.0, 'hotpatch.measure_time': 3352177.0}
[4096]: {'stabilizer.yaw': 0.005097607616335154, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17940.0, 'hotpatch.measure_time': 3369038.0}
[4106]: {'stabilizer.yaw': 0.005032913293689489, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18037.0, 'hotpatch.measure_time': 3387382.0}
[4116]: {'stabilizer.yaw': 0.005642436444759369, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18126.0, 'hotpatch.measure_time': 3404234.0}
[4126]: {'stabilizer.yaw': 0.0058870334178209305, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18219.0, 'hotpatch.measure_time': 3421808.0}
[4136]: {'stabilizer.yaw': 0.0055782487615942955, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18309.0, 'hotpatch.measure_time': 3438849.0}
[4146]: {'stabilizer.yaw': 0.0058118137530982494, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18401.0, 'hotpatch.measure_time': 3456271.0}
[4156]: {'stabilizer.yaw': 0.006204565521329641, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18491.0, 'hotpatch.measure_time': 3473301.0}
[4166]: {'stabilizer.yaw': 0.006034079939126968, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18583.0, 'hotpatch.measure_time': 3490712.0}
[4176]: {'stabilizer.yaw': 0.004285994917154312, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18672.0, 'hotpatch.measure_time': 3507553.0}
[4186]: {'stabilizer.yaw': 0.004548902623355389, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18763.0, 'hotpatch.measure_time': 3524757.0}
[4196]: {'stabilizer.yaw': 0.003896082052960992, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18853.0, 'hotpatch.measure_time': 3541768.0}
[4206]: {'stabilizer.yaw': 0.0036205067299306393, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 18947.0, 'hotpatch.measure_time': 3559514.0}
[4216]: {'stabilizer.yaw': 0.003710715565830469, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19036.0, 'hotpatch.measure_time': 3576355.0}
[4226]: {'stabilizer.yaw': 0.0034837331622838974, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19126.0, 'hotpatch.measure_time': 3593402.0}
[4236]: {'stabilizer.yaw': 0.004654477350413799, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19215.0, 'hotpatch.measure_time': 3610263.0}
[4246]: {'stabilizer.yaw': 0.005790451541543007, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19307.0, 'hotpatch.measure_time': 3627694.0}
[4256]: {'stabilizer.yaw': 0.005526602268218994, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19395.0, 'hotpatch.measure_time': 3644200.0}
[4266]: {'stabilizer.yaw': 0.006087378598749638, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19487.0, 'hotpatch.measure_time': 3661468.0}
[4276]: {'stabilizer.yaw': 0.00631494028493762, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 19577.0, 'hotpatch.measure_time': 3678520.0}
